Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35
45 - 49;1,88;14,17;39,77;55,28;51,39;36,31;22,22;14,91;8,87;8,5;6,28;4,8;4,06;3,07;2,73;7,28;5,1;4,12;3,45;4,4;6,33;7,34;8,65;10,87;13,14;11,49;11,62;13,2;16,65;17,01;22,77;38,59;59,18;110,37;159,2;179,7;176,04;183,45;171,79;175,11;210,36;235,88;184,7;162,17;185,75;150,83;123,05;100,58;85,18;67,34;71,57;76,78;81,33;98,32;123,58;154,65;151,55;166,29;192,76;202,45;171,11;141,11;96,45;68,06;39,46;24,78;16,54;8,91;5,2;4,89;6,31;8,25;13,03;17,28;22,28;36,92;58,65;77,84;85,69
40 - 44;1,73;11,55;36,63;47,34;46,97;34,14;20,76;14,18;9,27;8,23;7,31;4,95;4,34;3,56;3,22;9,39;5,42;4,38;3,83;5,11;6,54;8,82;9,96;13,02;14,61;13,42;13,2;13,95;17,19;17,52;21,43;38,07;59,16;108,11;160,6;180,83;183,21;188,16;179,44;179,49;222,1;244,28;193,75;163,54;194,46;153,92;126,89;104,28;87,1;70,54;73,17;84,27;87,02;108,78;142,19;185,09;169,61;189,02;218,48;220,47;195,13;157,4;108,62;81,2;44,94;32,49;21,94;10,74;7,21;5,48;6,99;10,29;14,97;20,11;29,39;47,81;76,49;105,23;113,79
35 - 39;1,27;10,36;33,14;45,07;41,65;31,21;18,57;14,43;8,75;8;6,64;5,16;4,58;2,93;3,67;7,34;5,6;4,24;3,84;4,78;6,77;7,24;9,74;12,16;14,37;13,54;12,21;13,22;17,13;19,04;21,8;34,45;58,57;101,83;152,8;169,33;173,73;173,83;164,77;172,8;207,84;231,21;180,05;152,76;191,82;151,4;119,92;98,2;84,32;67,95;70,14;79,05;86,52;108,9;143,46;178,84;169,89;179,29;212,96;213,15;189,63;150,65;106,41;79,84;45,68;31,99;20,78;10,32;6,84;6,41;7,17;12,23;17,13;22,01;30,16;46,19;71,14;99,43;111,04
30 - 34;1,26;9,75;37,28;47,95;44;31,72;21,94;16,38;10,23;8,86;7,17;5,73;4,89;3,77;4,06;7,64;5,9;4,71;4,71;5,46;6,95;7,72;9,37;12,86;17,2;15,67;17,05;17,07;21,96;23,69;27,69;42,92;70,25;122,2;174,23;190,6;190,69;183,45;170,41;172,33;209,54;237,06;182,72;167,29;211,11;164,62;127,74;104,86;89,29;71,04;74,86;82,43;89;109,52;143,66;179,56;173,08;184,38;218,5;215,73;190,24;150,61;106,85;82,66;49,98;31,92;21,54;11,5;7,62;7,79;10,57;15,74;23,78;27,57;37,74;55,42;79,68;108,56;117,46
25 - 29;1,5;10,82;39,31;53,01;48,97;38,11;25,38;19,63;13,42;10,29;7,71;6,8;6,19;4,37;4,77;7,86;6,33;6,19;4,51;6,09;8,06;10,05;11,9;16,51;23,51;24,08;22,9;24,2;29,19;28,3;34,41;52,89;88,17;144,23;203,8;219,73;210,52;195,51;177,32;180,27;212,48;238,55;185,85;165,99;212,4;168,21;125,94;105,23;88,5;72,09;76,99;81,78;84,07;107,66;138,14;165,5;165,08;181,5;214,8;212,59;181,6;146,95;102,14;77,8;48,38;31,55;21,82;12,2;9,12;9,72;15,51;26,09;34,15;38,47;47,33;70,81;98,97;124,47;121,83
20 - 24;1,52;6,99;31,36;49,24;48,63;37,52;26,65;20,74;12,87;10,96;9,09;6,79;6,25;4,93;5,45;8,31;5,51;5,6;5,1;6,51;8,2;11,31;16,19;25,19;33,53;28,82;27,06;27,82;32,83;34,37;37,67;60,56;95,11;164,16;225,87;254,62;239,21;221,29;193,95;199,05;234,05;262,45;196,79;186,33;236,31;185,18;139,61;113,73;94,96;79,46;85,63;91,09;95,5;117,63;149,75;185,62;184,6;212,55;250,52;244,62;208,94;170,1;121,23;90,79;52,38;37,71;26,1;13,58;9,53;12,02;19,16;32,7;45,31;50,49;60,54;95,98;125,44;148,94;145,6
15 - 19;1,09;4,59;13,63;23,76;27,26;21,76;14,5;10,21;6,7;6,6;4,65;3,86;4,06;4,09;2,84;6,27;4,19;3,48;3,78;4,9;6,24;9,27;13,81;18,81;22,44;21,22;19,5;21,04;26,4;26,53;33,76;52,52;75,12;123,37;182,52;213,52;221,24;208,44;189,33;195,75;223,82;215,09;149,01;125,79;161,96;136,85;106,62;88,11;74,08;60,39;66,48;77,96;81,54;104,23;140,56;182,42;167,77;191,59;274,47;262,49;219,86;178,97;125,43;98,72;56,84;43,79;31,17;17,26;11,17;10,48;14,72;32,65;40,9;46,68;60,11;88,85;141,4;176,58;194,71
10 - 14;0,51;2,75;6,86;10,24;11,61;8,18;6,32;5,08;3,67;3,4;3,19;2,89;3,24;2,81;3,21;5,19;3,94;2,84;2,75;3,94;5,16;6,81;9,83;14,72;15,53;13,02;11,69;13,45;13,96;15,77;19,17;30,79;44,59;74,18;110,21;129,22;144,4;143,05;140;139,19;153,64;142,7;91,44;71,62;89,96;73,37;60,17;50,74;46,56;38,05;42,4;50,74;62,3;77,45;112,83;154,82;130,98;139,86;206,81;235,79;193,58;165,49;123,44;101,6;58,49;42,67;35,57;17,9;12,1;8,32;7,97;14,34;20,98;26,92;40,16;70,19;144,56;186,34;223,26
5 - 9;0,27;1,5;4,53;6,68;7,81;6,36;4,37;4,13;3,22;2,82;2,98;2,12;3,01;2,66;3,3;4,75;3,73;3,25;3,09;3,68;4,05;5,31;7,65;11;10,2;9,47;8,56;8,72;9,55;10,46;11,64;16,72;26,13;49,4;74,91;90,23;96,94;105,1;102,47;98,79;114,22;115,4;81,08;52,16;64,18;58,87;51,06;44,11;42,98;37,3;41,64;53,74;73,09;98,63;127,77;179,77;139,2;126;187,61;225,73;184,49;149,34;110,44;91,55;50,36;40,92;30,67;15,21;9,26;6,47;5,58;8,61;12,77;19,43;31,07;49,5;99,76;149,5;185,57
0 - 4;0,23;0,88;3,61;6,41;6,82;5,98;3,99;4,7;3,36;3,48;2,93;3,08;2,2;2,7;2,78;4,01;3,41;3,61;3,71;3,53;4,06;3,79;4,75;6,94;7,17;5,63;5,73;5,71;7,35;7,55;8,25;13,18;22,39;36,81;56,22;60,91;60,86;60,03;58,52;58,09;67,05;78,1;53,16;38,47;47,96;46,85;42,81;38,57;38,17;34;34,71;47,56;59,85;75,48;102,19;126,77;112,76;101,63;128,34;140,86;127,71;103,85;74,92;58,01;35,72;25,8;15,5;9,62;6,49;4,37;4,52;6,51;8,73;13,18;19,16;31,1;47,16;74,52;85,48
